draw_idx,fsw_prev_2019,nontrep_f_2016,trep_f_2016,primary_share,secondary_share,early_lat_share,late_lat_share,client_prev_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,hiv_pos_trep_2016,hiv_neg_trep_2016,hiv_pos_nontrep_2016,hiv_neg_nontrep_2016,hiv_trep_ratio_2016,hiv_prev_2010_2020,n_pass,n_seeds_ok,pass_fsw_band,pass_nontrep_band,pass_trep_band,pass_primary_band,pass_secondary_band,pass_hiv_pos_trep_band,pass_hiv_trep_ratio_band,pass_early_lat_band,pass_sustained,n_pass_mean
0,0.6310531418055572,0.08243550071316406,0.20321988522308657,0.5978794992114088,0.3810002299065411,0.02112027088205005,0.0,0.6005903487916854,0.10211298464393061,21771.75,0.41376740662132727,0.10335882104015191,0.16873262138075576,0.04797315285984658,4.003988923185513,0.14173496240295375,5.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0
2,0.49650396665322044,0.0809590779089054,0.13488119637040832,0.4189641851448302,0.2340596301065531,0.013241921257316977,0.0004009301579664822,0.11353314191284274,0.09202459144511406,16493.75,0.28628439142457607,0.05565087016689391,0.11977413852781356,0.021129061731645696,3.880712359262683,0.1436113390076577,3.6666666666666665,3,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,3.6666666666666665
4,0.743744265778164,0.11132246816478882,0.20554809649534667,0.5495328841157568,0.428920740936037,0.021546374948206087,0.0,0.5502210455870576,0.11659934927979869,20476.416666666668,0.4304095275268442,0.09572492509331208,0.20013978711047908,0.045973723164115805,4.494613889808028,0.14256175256606277,5.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0
28,0.8048159125259776,0.18210800832628504,0.24785276333803755,0.6213592328196959,0.3596544195863934,0.018986347593910758,0.0,0.34654882154882155,0.17748909441513308,31293.416666666668,0.4890321424655754,0.10669393056143472,0.2621096348855228,0.049482612206232436,4.603773138743523,0.14105578692891244,5.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0
30,0.09792843691148777,0.020889310249169277,0.04784569105959477,0.19297352342158858,0.1342498302783435,0.006109979633401222,0.0,0.054022988505747126,0.016214419183411117,4683.5,0.1074645454156906,0.01905787768357343,0.03390636842461122,0.00632105981979035,2.819401677117829,0.1380739414560139,2.3333333333333335,3,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,2.3333333333333335
39,0.6948435209164029,0.1638339337272732,0.2721586077181757,0.5787768305877471,0.40039032333800634,0.020832846074246594,0.0,0.5816371449533592,0.17589325528051458,28458.666666666668,0.4945428902698192,0.1335295687129318,0.2534121191945999,0.07254022365693248,3.724252785266888,0.14713569854346006,5.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0
41,0.197979797979798,0.04071831020224923,0.07608760727462255,0.2043684710351377,0.12269705603038937,0.0062678062678062675,0.0,0.1860730593607306,0.05437267679891832,8948.916666666666,0.15297001153402537,0.037106592746056224,0.07179930795847751,0.01900144551706325,2.0662063180207277,0.13733954220063638,2.3333333333333335,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,2.3333333333333335
45,0.7848651164180761,0.13706925510697945,0.23378106780898425,0.5890968004731242,0.3884058357751461,0.022497363751729643,0.0,0.6993589048638542,0.12881758319179623,23835.583333333332,0.4447676456986191,0.14021242765772166,0.24403788673926885,0.07765092026837632,3.1782656287089917,0.12688651824288863,5.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0
56,0.23563218390804597,0.04212785941480101,0.06901046916102051,0.19036278479002935,0.137016750019846,0.005953798523457967,0.0,0.14721345951629863,0.04852669470454126,9006.916666666666,0.13285533530156052,0.03389498619273273,0.06115563053563897,0.015427560058617597,1.9676518006557735,0.13977311729645472,2.3333333333333335,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,2.3333333333333335
60,0.4528577160156108,0.08633981165639204,0.17543624763223567,0.4286305092756706,0.22594072594072592,0.01209543145027016,0.0,0.2403830088040614,0.11806771015690816,20227.5,0.35022117784722057,0.0913997368896055,0.13504165197159956,0.04061577571844325,2.5575441814385917,0.12177793953564399,3.6666666666666665,3,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,3.6666666666666665
