draw_idx,fsw_prev_2019,nontrep_f_2016,trep_f_2016,primary_share,secondary_share,early_lat_share,late_lat_share,client_prev_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,hiv_pos_trep_2016,hiv_neg_trep_2016,hiv_pos_nontrep_2016,hiv_neg_nontrep_2016,hiv_trep_ratio_2016,hiv_prev_2010_2020,n_top_spreaders_50pct,n_pass,pass_fsw_band,pass_nontrep_band,pass_trep_band,pass_primary_band,pass_secondary_band,pass_early_lat_band,pass_sustained,pass_hiv_pos_trep_band,pass_hiv_trep_ratio_band,n_pass_mean,n_seeds_ok
249,0.56277542606143,0.13357000429077467,0.22902997652924553,0.5718291736297881,0.40348900330955995,0.02468182306065196,0.0,0.5763937871134709,0.10472319083123598,15.446603333333334,0.4296626629186873,0.13302404694383588,0.2308884484636231,0.09036406070419196,3.2467647881759234,0.13926809488203784,892.6666666666666,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3
272,0.6927249725013797,0.13083636735334667,0.20442673107774945,0.6052750485057522,0.3737929873283043,0.020931964165943465,0.0,0.6862996463197722,0.12992356064654134,17.75321888888889,0.38293474485296847,0.10412657983477282,0.2315687753164212,0.0740379913625641,3.703221389699929,0.1727002221857945,839.6666666666666,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3
410,0.5642135893740022,0.14330064644949528,0.23967113936319087,0.5844633055807676,0.3916724778727208,0.02386421654651151,0.0,0.5558706347465857,0.14863281679321064,21.80427277777778,0.4228353349922842,0.13385511974422984,0.23199159823718432,0.08936504807147216,3.159418059776406,0.15545990698596884,1012.3333333333334,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3
413,0.49487569761542366,0.13301655257191514,0.21702410917244055,0.5522940215271702,0.42394662536839056,0.02375935310443918,0.0,0.41852521405659826,0.11962347972341263,22.713890000000003,0.3945813043132454,0.10722262167329472,0.2198571749677535,0.06566871114193133,3.6819258319899935,0.17006633972350738,884.6666666666666,5.333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.333333333333333,3
521,0.7027017899358325,0.1347807199241605,0.25113762428146513,0.569523451614813,0.408178975314817,0.022297573070369985,0.0,0.7625146917695108,0.15931806600159104,24.506583888888887,0.45202865401258907,0.1328036023870681,0.2029420348978618,0.08487813335798021,3.429617030640261,0.17035739637784628,921.3333333333334,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3
553,0.5708483268418832,0.1401691791691407,0.2129485038162946,0.6124780708048033,0.3656964853955493,0.02182544379964745,0.0,0.663570298123917,0.13600413571475709,19.075421111111112,0.4172104408907697,0.1267195983267205,0.2697849715186271,0.0935897873808964,3.2925381470080413,0.14247442168756627,952.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3
572,0.7349299719887955,0.15666193987259927,0.22072596249944385,0.6168507228713301,0.3583465944680593,0.02480268266061056,0.0,0.7343668909706645,0.12090578387435814,16.838776111111112,0.3961450053466961,0.12089530762480054,0.27200753160446095,0.09782905926532566,3.2861571053055343,0.17249404036640695,890.3333333333334,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3
639,0.6823967295403414,0.11423452671440389,0.22469722393834882,0.6388771530603604,0.3400224139248544,0.021100433014785213,0.0,0.625939545524517,0.1530725900028014,22.458135555555554,0.43648480171319987,0.13036556629060048,0.1774257274517391,0.07970793792315312,3.348916243601108,0.14088255402587133,955.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3
710,0.7044459876878114,0.12512988880207773,0.2077786524313708,0.5456532471683501,0.42632075600393327,0.028025996827716657,0.0,0.8321828899761678,0.1205095644043702,17.067989999999998,0.38147610256281106,0.12002468817242383,0.21665974174426936,0.08978873201376181,3.1788999701707623,0.1746508810252304,878.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3
736,0.6321566594426754,0.16051912226559822,0.23942857043526933,0.6120560029897127,0.3657694054240716,0.022174591586215705,0.0,0.6940160696709429,0.14616553970098542,23.384642222222226,0.4213123136233529,0.1358009483867724,0.2659145773931209,0.09546279286233213,3.107991138505032,0.15955331305917533,970.3333333333334,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3
