draw_idx,fsw_prev_2019,nontrep_f_2016,trep_f_2016,primary_share,secondary_share,early_lat_share,late_lat_share,client_prev_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,hiv_pos_trep_2016,hiv_neg_trep_2016,hiv_pos_nontrep_2016,hiv_neg_nontrep_2016,hiv_trep_ratio_2016,hiv_prev_2010_2020,n_pass,n_seeds_ok,pass_fsw_band,pass_nontrep_band,pass_trep_band,pass_primary_band,pass_secondary_band,pass_hiv_pos_trep_band,pass_hiv_trep_ratio_band,pass_early_lat_band,pass_sustained,n_pass_mean
1,0.16666666666666666,0.049649046279051555,0.08670778116431953,0.2053314121037464,0.08681556195965417,0.041186359269932755,0.0,0.17079922928749744,0.03444717228976144,6155.25,0.14167205161103977,0.03287925387500077,0.07941359811794395,0.01555181854120883,2.626899703949654,0.1382957812135699,2.3333333333333335,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,2.3333333333333335
17,0.5664192316270771,0.10861435838755512,0.279928811671111,0.6292923663189113,0.24384702969027497,0.12686060399081373,0.0,0.23632610939112486,0.11588864477841454,26133.833333333332,0.433477432869607,0.16829641171893894,0.0976198705627785,0.05193696015107701,2.5804739282831513,0.05912035597333853,3.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
20,0.5383323722840286,0.11684417782681206,0.2492900747712342,0.5396986767470343,0.3044760246637443,0.15582529858922145,0.0,0.5064173393923467,0.13635511023021474,22731.166666666668,0.42869293920302454,0.08299580863841695,0.18883965680574288,0.04102710903660991,5.206418233099761,0.14375238276128813,4.333333333333333,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0,4.333333333333333
26,0.7291057264762221,0.17815818584500565,0.32617456991642263,0.6114709448098673,0.25940885553197585,0.12912019965815685,0.0,0.5579653858750927,0.15303451140276034,34969.166666666664,0.477694433023693,0.1316088517433551,0.21511911315034193,0.05703630152687845,3.633398322010617,0.14679305013637836,5.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1282468753783379,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30,0.6230730436921491,0.1581747930323902,0.3168320557447278,0.5927179645875073,0.2687045988932211,0.1385774365192716,0.0,0.4172819792302334,0.18500679950262777,34932.916666666664,0.5081206338528644,0.14817444868224117,0.20078311416276437,0.059331945049790995,3.4393143771753305,0.10960877973529067,5.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0
33,0.6221439773518186,0.1875212451738452,0.34178537086664745,0.5696081915507871,0.292517872308863,0.13787393614034993,0.0,0.3691333510978165,0.17565181868259314,40145.666666666664,0.5213169703772756,0.15618615637469477,0.2197391746994275,0.06318370512472055,3.3382497252655994,0.12101822487298997,5.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0
34,0.41478763976022504,0.10671217764412738,0.236543929576142,0.6115105155608127,0.25633644444714293,0.1321530399920444,0.0,0.3738655024173682,0.12078698622955082,24589.583333333332,0.41704538269117547,0.07687405346865715,0.1754761084415993,0.03465370799256866,5.4977876800466925,0.13512153536501048,5.333333333333333,3,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,5.333333333333333
51,0.3267826762582218,0.07302083461250386,0.1554408926914778,0.38801217706104985,0.17961998371328633,0.09903450589233048,0.0,0.27512964801941964,0.06021619764921421,11459.833333333334,0.264989785962371,0.07168748075041514,0.10986095802101226,0.03190029611787442,3.767776541999774,0.11232058939020173,4.0,3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,4.0
52,0.20159680638722555,0.04312865497076024,0.082328216374269,0.17430555555555557,0.10819444444444444,0.050833333333333335,0.0,0.1809169764560099,0.040606458706205044,5089.5,0.1397720175422733,0.025362318840579712,0.06317571968216752,0.013529627591267657,5.505722101267236,0.1459871484478523,2.0,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0
