draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv,structuredsexual.stable_act_decay,structuredsexual.client_marital_act_mult
0,0.02691053259316228,0.8846420840228364,-1.9134084740615398,1.410540577843,13.45803306627614,0.4820948175414673,0.8248537054699054,-1.5004449373926532,0.7403331647355568,-1.8700612299729986,-1.0139876466708837,-2.4780679966476162,0.5875489043709875,5.62967214835051,3.6860600389561884,0.8387708115610432,0.13838957833780893,0.06918027516807046,0.8701094109829977
1,0.014886833471578296,1.031380395759714,-1.7120554815623388,0.5220798261053162,21.19486380705328,0.2555229809846128,0.6407133727898084,-1.8930590407235695,1.4137232190958549,-3.5564729748641284,-1.7661514426281752,-2.3617175211280843,0.6838776315996548,5.864304522137428,3.9222554840619055,0.058334102589079326,0.3491650487650685,0.13317184145179084,0.7839413216453206
2,0.028049775200497888,1.0603357967063554,-1.4430893470386148,0.7684269714693187,12.69537878147528,0.5029915911049915,0.6869489721898338,-0.35154301898887086,1.1980793171275066,-1.918297214993767,-2.7070452373213705,-0.8202313975647098,0.6086494771826185,7.35534268198438,9.170749752420635,0.03307197224757718,0.577813468573695,0.18316769879774136,0.9359195149370532
3,0.029791864678503765,0.7319567435134363,-1.6209324848121325,1.8181495470923714,14.66938213447549,0.10500044977588807,0.5441589865985484,-0.14902492300722736,0.6602463319779719,-1.5321199868102986,-2.1832987973516067,-1.5808467128750885,0.6668003330814748,4.931954028996266,11.251691549798092,0.8179341595795728,0.18401932006362096,0.08880177646525997,0.3893069034871993
4,0.020919862843665964,1.14127051000052,-1.6767957253762737,0.44680699147084846,28.287354602759763,0.563281740182773,0.6756137324053474,-3.6845692678960567,0.8036914106941218,-3.403143312799296,-2.3736420914057232,-2.592452438692912,0.5670518329529413,2.7331449070040383,14.761216816953645,0.36939174553482074,0.8990255994541336,0.09276418414523799,0.9910536324688783
5,0.015670196366254524,1.1748945544823846,-1.3734675068206146,0.726085062131286,14.960273603092167,0.5918575693812835,0.8857871469354097,-1.2217645522149092,1.1783319965872903,-3.086936238446626,-1.0646791569859224,-1.504438800309964,0.8170004491700935,4.4445982565164295,6.076452199182085,0.31517437448251556,0.0671063322348143,0.12199306596172368,0.5362031783798112
6,0.011360004127902053,0.37121475892327405,-1.3024770897017819,0.6652274427655045,10.307320711443078,0.14483917412362268,0.7100638742023444,-2.4161582153705012,1.1554785356498751,-3.6043169540789104,-1.9509880180425867,-3.1037522318769524,0.5733577164473992,5.741641450227535,5.257018736175622,0.4711223593935865,0.36727717848984553,0.05708390538205105,0.723569511586933
7,0.021055250821347737,1.4708210261739811,-1.2164437599428573,2.177444451399076,22.46310882811059,0.556562144539981,0.6108008476485826,-0.5167313421392672,0.770175335188256,-3.7550473960603252,-2.597525438029742,-2.685108036448103,0.5974843354887105,7.026363440769418,9.444403349568379,0.17355919140435613,0.2699905814660815,0.05270795796042947,0.43553705085976185
8,0.018207055242726585,0.6062701252906812,-1.1417243128680954,0.04017290795462836,27.6840762466898,0.19577053955228407,0.7953470565161771,-0.6852494757619594,1.1266972190633462,-2.25676225441155,-1.1647454378960858,-1.9924801166651755,0.5824430046030759,3.4348291171238485,13.709003989840383,0.19708083170870125,0.4925893012259601,0.12992307488841665,0.9550900308179928
9,0.02233243248120695,0.8383784341935998,-1.8004236247752177,1.7528976011360715,11.170441609661905,0.22146686343740002,0.7594895871038098,-2.488941144657316,1.3248876667716432,-3.463452598741709,-2.798575414631422,-3.221617435815527,0.8721426190580396,2.68694229765644,12.236639800744658,0.07164576320110058,0.6765958691067587,0.14721333918403215,0.5054987827856845
