draw_idx,fsw_prev_2019,nontrep_f_2016,trep_f_2016,primary_share,secondary_share,early_lat_share,late_lat_share,client_prev_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,hiv_pos_trep_2016,hiv_neg_trep_2016,hiv_pos_nontrep_2016,hiv_neg_nontrep_2016,hiv_trep_ratio_2016,hiv_prev_2010_2020,n_top_spreaders_50pct,n_pass,n_seeds_ok,pass_fsw_band,pass_nontrep_band,pass_trep_band,pass_primary_band,pass_secondary_band,pass_early_lat_band,pass_sustained,pass_hiv_pos_trep_band,pass_hiv_trep_ratio_band,n_pass_mean
2,0.3796078431372549,0.09673102263967008,0.13183758168161724,0.34982073011734033,0.3014919402631267,0.015353996286199675,0.0,0.4664272954626652,0.06541424821503615,8233.583333333334,0.2577809037793513,0.07738491963472155,0.20176741133929302,0.06293444483252007,2.4573075877295367,0.1213144096528712,617.6666666666666,3.0,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,3.0
3,0.6232436534379928,0.14565217254210427,0.19314405245978575,0.6335121639115316,0.34413710336879433,0.022350732719674,0.0,0.6431618547577718,0.13457806092245564,16846.583333333332,0.427311303752493,0.10437981516911828,0.32256583872921474,0.08022662132151731,4.093523370431956,0.1251379812432271,883.6666666666666,5.0,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
6,0.600415759252364,0.1332087278651997,0.19758820906738392,0.633670161562629,0.3464344001655722,0.019895438271798765,0.0,0.5948666545167365,0.1371058443030725,19821.5,0.4358169930986731,0.09999670178476083,0.295283443466753,0.0677921223593743,4.373414337319988,0.1279058163010209,885.3333333333334,5.0,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
8,0.21957671957671956,0.03370535714285714,0.05803571428571428,0.20604099244875942,0.11987594390507011,0.007416396979503775,0.0,0.1875746714456392,0.043254104506735926,5413.333333333333,0.131325464658798,0.02452528025623427,0.07108940442273776,0.015740105239075725,5.354697817384385,0.1479460703416792,281.3333333333333,2.3333333333333335,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335
9,0.20138888888888887,0.04080357800165257,0.08528410292888872,0.18860142482189726,0.13635795525559305,0.008373953255843019,0.0,0.206762317873429,0.0471949328193802,6561.25,0.19731367091426777,0.05132115277709432,0.0862769177855177,0.029884316589882356,4.3116327745283956,0.09832266685684192,474.6666666666667,2.6666666666666665,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.6666666666666666,2.6666666666666665
11,0.16222222222222224,0.04487824492182802,0.11347366503749556,0.38164477798624147,0.28033145716072544,0.004690431519699812,0.0,0.24302529807140205,0.031402087162850666,5241.75,0.2770135386560123,0.08695410929633672,0.08867925295893099,0.03999038436939291,4.060439216781101,0.03581741670419168,358.0,3.6666666666666665,3,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.6666666666666665
15,0.5817891348534099,0.1142555892540806,0.20073757649905735,0.5615612359609237,0.41379561675318116,0.024643147285895176,0.0,0.6230101681264472,0.15944908253483478,20382.166666666668,0.41933375957513613,0.07242652258405957,0.2399475768236519,0.042842375859790026,5.789323362894602,0.17322744227456485,980.6666666666666,5.0,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
17,0.14814814814814814,0.03995061411876479,0.06289110469006115,0.21594202898550727,0.11272141706924316,0.004669887278582931,0.0,0.21972534332084892,0.03443564055755872,4898.583333333333,0.13155457010964128,0.020173481033560033,0.09164267664451499,0.013110947990811785,2.5576719525497214,0.17817838206212433,323.0,2.0,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,2.0
23,0.6747526765144328,0.1416874860898333,0.22529887774097065,0.5773374026432976,0.40059147676314183,0.022071120593560548,0.0,0.6498166088068174,0.16336296053108493,28067.166666666668,0.4552075298850106,0.1125340611684903,0.275397955729669,0.06771311124985481,4.084279397510858,0.14373212370860103,1002.0,5.0,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0
35,0.20770519262981577,0.045400475812846945,0.06859075613369515,0.18877220277453652,0.13678205626863735,0.007779074290159471,0.0,0.20346320346320346,0.012382667874276809,0.0,0.13519229272469013,0.05086293827586316,0.08543316534677226,0.036077547125030106,5.327817681419548,0.07258095960801718,336.0,1.6666666666666667,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,1.6666666666666667
