draw_idx,hiv.beta_m2f,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv,pn.p_notify_stable,pn.p_notify_casual
0,0.03298632303470979,-1.7816512677678125,1.7385963924888,25.33374421402474,0.24527922762507148,0.6602428118979329,-0.46986798521894846,0.8429296304408271,-2.3786847630781596,-3.214459123868636,-3.7781403944155825,0.7223373398177977,7.684241432752087,3.439301511329469,1.07391872771133,0.11421902260581013,0.2333607802099834,0.03813190937738563
1,0.022114284115406616,-2.1415609231245973,1.992226105938979,22.34872806481166,0.26530425296889515,0.527136138071281,-1.8104931764522996,1.4917589757296779,-2.6319766991575513,-2.134236116500622,-1.0996488735590288,0.8781209434607282,2.9828470709345716,12.580729817224901,0.12247903958813144,0.46031170973214264,0.15581363611981497,0.036414605261594415
2,0.020360491352434472,-1.5948962077165145,0.5441422059276134,29.571810726552666,0.4293625186349348,0.6601001639491594,-0.3567523506298085,0.34087573059777665,-3.5910393419573547,-2.727662572417143,-2.3086854036409328,0.6546345705572917,7.613102743339286,5.1869292510364975,0.6286085903786961,0.465823189729447,0.32170235278767295,0.12131637538381602
3,0.022088506165073653,-1.5966151722082442,1.473882369632566,29.409722408582418,0.22159783356522877,0.9460038902299936,-0.24104255573861044,0.5330172609608643,-2.3981100790172523,-1.3406272772144217,-1.469952822600066,0.7599454667886092,6.068966295213082,6.450534509407817,0.1571614926111018,0.8132986400735497,0.28246455218970257,0.10540215608116998
4,0.036731781460544455,-2.099312133242204,1.2031391014873185,23.612701455639524,0.15165311755239952,0.5882676378374729,-1.005869319899328,0.4833203502030675,-2.741562520450226,-1.8377508834431109,-2.0928384649661274,0.8480723680405626,7.652152828804072,2.128008510061982,0.571221401627951,0.8913475324714581,0.08797319351950908,0.03578360380585267
5,0.011428491278613506,-1.8149954730033684,2.0148371351960757,20.042635657524883,0.30780197194385084,0.504529048710371,-1.1993359657055493,0.9885812030435195,-3.760003465590778,-2.2630662229464296,-3.2842097881452776,0.8262051545267433,6.240984897392685,7.210001782511643,0.17126990367877915,0.8883719071208289,0.21100223221990422,0.11225797837038776
6,0.02221704293130112,-1.5860871316321266,2.295734193737678,26.70511850031775,0.2074646660728726,0.7538524751520266,-0.7600343788610218,1.2667042627910365,-3.6066205144444687,-3.597571579920025,-1.6724785904408037,0.8452679953764141,5.946099745791567,8.360294553562891,0.1866177762569839,0.5686595934230181,0.10033332559762749,0.05516505370820783
7,0.019312792119737427,-2.2372938978547183,0.10154939670344547,21.32107384766247,0.5012706137044964,0.9141258412223481,-0.5199770656262865,1.0102459731578233,-3.22623062707322,-1.4185739996840092,-1.129023476474738,0.7465347538228253,5.724435882813484,2.787032018473141,0.3530258874845747,0.242211499893785,0.2496967945563962,0.15044751149102392
8,0.02875218167560596,-1.6836027220580674,1.192490242990637,13.378660061770073,0.20679320828388803,0.8701002505794704,-3.6345589592106764,0.9200478945176174,-2.486457364569696,-2.0454890260392773,-2.3281030903599396,0.8269427762434594,5.5413671734191325,7.93892368068573,0.769002670613275,0.23711720297412986,0.07199432956486014,0.18314648716649873
9,0.015409826363968641,-1.2938425462107943,1.3486160146333073,14.029165695933056,0.28365145830049565,0.506390892392487,-2.0369049194941655,0.7931745114525788,-3.02971203849372,-3.808718907855428,-3.5019622776636035,0.7796349922808347,5.972969350349542,12.226876461982132,0.8074457621484852,0.698689712004074,0.2105771607653304,0.1737757016242721
10,0.009319348418027533,-1.8258510582848186,0.6105846364960112,10.457449341993096,0.20936894163362976,0.6226499182754082,-3.8167033658498357,1.3570950847100862,-1.528649976089218,-2.2219763886181316,-3.6047098720880197,0.7037263938109602,7.627217963365021,13.659776548711523,0.4127093800074757,0.43856039006147807,0.28761426151745567,0.1497607923653568
11,0.007075638966199232,-1.6773512237964936,0.45517276963891906,13.782057632989359,0.4956026565032662,0.90472497219629,-0.5264775118538183,0.6603499820538615,-3.43782801834639,-1.659452052010038,-1.0575816416304389,0.8135026977617956,7.771821258991379,3.138755200084599,0.946453200125171,0.3035943056167705,0.32971238921845936,0.1568445012715632
12,0.029357381704176285,-2.0685058918404953,2.29151829814878,21.794063720916483,0.28291112421269177,0.5770677303441739,-0.31501539907583354,1.1842612069381746,-3.2960226952599063,-2.728515518911225,-1.9263498835671575,0.8471057721945114,3.014568160467853,7.33271320596778,0.03945100769549223,0.8415522007165527,0.2786471067952658,0.18124857983455936
13,0.04141388032910092,-2.074905120567086,0.5397319342538229,24.38496165959058,0.5318459973388274,0.8410240403578257,-1.6404186868031871,1.038046855884886,-2.5981810509799628,-2.6591901573834944,-0.6985927834994294,0.6166292751315394,2.627065449352351,8.51533782526301,0.1378984296565473,0.36678171580173996,0.21637153480196336,0.08034481912240941
14,0.014147128186513706,-2.251110341378901,1.7759034898721902,15.906570504008334,0.19940227840953517,0.760349293446483,-3.689774220066606,1.0005471505121604,-2.333181546318647,-3.824999877184794,-1.6255185861296715,0.6572252894511967,4.206873259733831,11.810167552083577,0.6923174320426829,0.8302694393231247,0.4270181434733284,0.1553256866331958
15,0.03962526245916566,-1.109966371362173,1.8681028878466368,12.842100494870634,0.23553993994206324,0.8397878611028424,-1.5500381266617609,0.8637750970267586,-3.0647345102006582,-3.098019185218892,-3.650975897638901,0.6356348172816992,5.584785075062701,12.49345092790239,0.5135977699293,0.6353901058500511,0.19846570419667103,0.1629665513273166
16,0.028305892736944886,-1.933981154805121,0.41266848346423635,21.878545676320833,0.3288799929342485,0.8773037517794591,-0.1476153025348399,1.3523805838717935,-2.0629710150373324,-1.3652214262348097,-2.558502357484774,0.8295987370515245,3.510771410710151,6.927309915958098,0.588757259744744,0.20516470262193726,0.4914763464574358,0.19329678710448883
17,0.04495740852462349,-1.5705369712403108,1.6116308439647822,19.275749266854845,0.51971762306166,0.7241456418953693,-2.2357392939821716,0.6152923415845455,-1.2248943713546039,-2.1527838003960698,-1.075362940392635,0.6046866358072622,3.0823370500141207,10.367854553786298,0.03224263115532677,0.6863298748146274,0.2692254441674308,0.11282142742034551
18,0.019063573618217974,-1.858720106750861,0.8398920744574188,15.479321948625167,0.5446027978312327,0.9329765767534144,-2.8719031784773765,1.3742355354027338,-2.8172293139865925,-1.295134273785251,-2.674058464883286,0.8677708022452613,7.508915745103893,6.2514889609534166,0.43412207593216134,0.05848083706591536,0.46019647194732244,0.15215907802673825
19,0.041368792617697284,-1.293401705504757,0.7545128515877857,13.194571646277318,0.15224316426077533,0.6424331730226737,-0.7013152378308565,1.2823704442379529,-2.268567880020947,-3.603713993699049,-1.6682770670445226,0.8638460766540776,5.200165479403018,9.563853143249691,0.8341783601758287,0.5931632567594052,0.08489924467906365,0.07366038215449082
20,0.020575105722396302,-1.0510314276543646,2.1604331946824584,14.757044333401993,0.12125237952242408,0.6489432636496218,-1.5488306301734558,1.0300844033569312,-1.6901752634528813,-2.3584704183503415,-3.7422240280062855,0.6411102119109445,6.073149154274034,10.05588859184669,0.38686438650708577,0.6577722297195153,0.40017858542236057,0.04942106601446682
21,0.037378343117702224,-1.1890912084349148,1.1208453460076457,19.092698748209195,0.34717853415819544,0.5718266932386443,-2.7132975159739647,0.4196490819448607,-3.186154080585146,-1.6300915517345391,-1.3497712799664736,0.6335608190830644,6.383367631868939,5.011964783399005,0.561887033982018,0.791467086317019,0.053730563008512394,0.0831937553023504
22,0.04568235106158166,-1.420973126199209,0.005450093493135939,11.807564982947525,0.26115691464493873,0.5123218038181283,-1.3551117101971273,1.2247852324426214,-3.730722696148497,-3.6810292772585944,-1.8831744498907024,0.6125473593245474,3.823961347675479,8.188143648975895,0.385148852026231,0.8587023823639394,0.16088965330418434,0.10630102689151856
23,0.025972622955895138,-1.073016387404927,2.2162016102867295,20.788492664871264,0.30185167048024353,0.9400801717062466,-1.3835460319043933,1.3855623887906967,-2.620125989640491,-2.24665439120158,-3.0779886682187807,0.7074870482744726,6.160375612354427,8.433583072598704,0.8265815170960827,0.15103202321449555,0.35769792298897524,0.15718835432772457
24,0.008822315330075246,-1.352404498098755,0.6128668667143559,10.567962531931906,0.315789343446781,0.9432236655105356,-0.06135621474868236,0.6353751426240486,-3.533146662250383,-3.4986687207962515,-0.6832664537771236,0.6422915676465781,5.431383376027412,3.8309910906246625,0.25168695491086296,0.5421777119586886,0.05685769715693279,0.16754602815568953
25,0.04175421581527822,-1.3793914309680042,1.9341235178014666,14.018800240194036,0.38240509081773055,0.7977208809843409,-3.38614045722888,0.5570265720723063,-2.034409610371454,-2.3042862905942414,-1.7512642624716004,0.8337766870531076,2.477402571623105,4.8456537070390615,0.6816510913051328,0.13284944844768443,0.4230117326705841,0.14613174994860914
26,0.013780873500600949,-1.6287224739710597,0.4005093487643422,20.359392339181518,0.10660000263595244,0.5733743632484566,-1.9201310423682802,1.208144803891692,-3.681279798753222,-2.1758804352902583,-2.8800635366618295,0.8596774551524211,5.65063203253466,4.247136439864042,0.3111018032419662,0.5443063861663968,0.39200937934492763,0.10994657646250873
27,0.017389631636904095,-1.7370911340059214,0.4758476045380569,19.998134253922316,0.5720459098055254,0.7568268428929881,-1.9060877884615586,1.130192817582815,-3.648379549436486,-3.904276682863451,-3.831036570273129,0.7751379409007737,4.407286619583432,9.470125004106869,0.6050758681985665,0.8266109187049542,0.31613590236998845,0.18128136717008278
28,0.03276013801944678,-2.21241386379192,0.913000296474348,17.704670148031994,0.4788054571005331,0.5391567608026988,-0.5527230499930949,0.7260861521671876,-1.3593434725575775,-1.89005520763136,-1.7779090836382,0.8611184473647735,3.6352369219021563,4.800143996638422,0.3328363946562431,0.42234409953299235,0.4511238137369673,0.09043392908916674
29,0.0473046725488172,-1.278641790527797,1.612919282880601,29.75278535006951,0.3821921363226771,0.5098794413361623,-2.032959300959758,0.5864835421133847,-2.2820600203866857,-3.421350080172598,-1.010907620385976,0.8022229239970096,5.379016108607807,10.27274378739205,0.3063170472488844,0.2026340906651325,0.10605137227064543,0.05143110338324054
30,0.01073447120904845,-1.8931573308324172,2.1287765832256738,14.554646715442221,0.3095253866063292,0.545065921421271,-0.9372143888413178,0.9566262144324722,-3.249318504376953,-1.89816580982689,-3.1490190671022393,0.6816571382371792,6.758173441805053,6.205900001824174,0.5865254280164945,0.3437247617203316,0.3369577453191969,0.16152386680091013
