draw_idx,hiv.beta_m2f,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.rel_trans_latent_half_life,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.f1_conc,structuredsexual.m2_conc,structuredsexual.dur_sw,structuredsexual.fsw_mf_conc_mult,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv
0,0.03968390659271661,-1.414956087552309,1.820127524537731,0.9225986864971537,22.393721510140825,0.11670729608060541,0.5738582904470144,-0.3884125626780186,0.4234875454692978,-2.2641779418547703,-1.261480940561618,-0.9408136696826173,0.8794154906932392,0.061814365322274314,0.27379715483431055,3.9154552255643047,6.222634659229313,0.7508085482316874,0.10316836865113115,0.4348359547447793
1,0.025886286838987197,-1.452186731098006,1.0440634764647128,0.41979012679228717,26.48144110019508,0.11967560215358006,0.7692999184944094,-2.126103704080906,1.3873828420317298,-3.0245322085817197,-1.7884130249146728,-1.4287805641048585,0.8167865370821721,0.1421912835783043,0.08127537015727015,3.7962105728183144,9.14437006810213,0.49457288522132214,1.0941192963749462,0.6729550246292704
2,0.028034427212169154,-1.115937434285762,0.3783894488822932,1.9456778612586048,13.277849346573653,0.5186587260708387,0.6884187824314547,-0.10808043406370604,0.3332700179841001,-3.326540317660476,-2.604936613055127,-1.1457992701182604,0.7100819215595808,0.28944595761950664,0.2502456955178114,2.9443854193795604,2.370113649726672,0.7162937764121413,0.9919011584299859,0.12182228810021443
3,0.027699739555731434,-1.6113568233654578,2.1907927745449722,1.0097041733317398,20.49101877866663,0.5824107009989034,0.9086611892588818,-3.7464655411133365,0.8838767286617282,-2.372376566179005,-2.081512722903592,-1.9212854966975825,0.5711710297478538,0.15230505042844555,0.1724514143819258,2.69437232215956,10.30727760383011,0.5960142504558192,0.2616270747211951,0.049528879260412266
4,0.007450352968950892,-1.8699909519519686,0.9454873344271213,1.940692657967205,25.26515252845774,0.20651658689870728,0.6729164609741053,-3.0182806286810955,1.2833549128838657,-2.490306080860915,-1.7108504045996247,-1.0402369657425625,0.800312817678497,0.13884914897825296,0.06058207325904344,4.767394348137622,13.85765478687602,0.30073705024205166,0.6440870669046079,0.29332941025584974
5,0.01341371289639386,-2.125944291463143,0.36637298751260866,0.3960131377988049,19.814749939735613,0.5988051830180683,0.7498259577467843,-2.0899623204049176,0.675614436151386,-2.864031069003204,-3.1037221620086215,-2.4744770396794533,0.614976383938491,0.19451731702588176,0.19818602268088398,6.782867714318153,12.627130820373807,0.11284161113214719,0.8663213656366571,0.37681751158545623
6,0.00566238530466309,-1.3281436567597602,0.5212711536285014,0.35840779015400476,20.063892388409208,0.47251001530125913,0.5430052081815008,-3.2488637010109773,0.7875863881291099,-2.202229114736288,-3.8594019158152784,-3.865824769481597,0.6578220953370162,0.14554427516288765,0.12367423709043215,2.9195439225794058,11.96846243409287,0.9325530896891713,0.7881344393762704,0.1402452297801142
7,0.037777001250374274,-1.6323180984045615,2.264685874370656,1.1741649196944728,23.50176737326287,0.4162217072281802,0.5325026465039862,-1.1673564329995507,0.49424435415877976,-3.5872520699534345,-1.9877393286801819,-1.4506463069894124,0.8846697093961684,0.29703830321371744,0.09157618688238714,6.926555198139203,6.104479869366976,0.37102173209592426,0.1877638459789687,0.8589656060519644
8,0.02208383885810662,-1.9013502189081817,0.22849155162062718,0.8272817600889724,22.5630098353739,0.20271512952689594,0.9127553153853013,-2.475114154596021,1.154731444428709,-1.4292184850756087,-2.5064629678885955,-3.112912328299267,0.6302013740610045,0.12338663035829253,0.258196160152015,4.739101787612153,2.5444791273998684,0.5530228733078325,0.8060456939780621,0.1962431832726167
9,0.030966381126368223,-1.383447295750925,0.6177155900217218,1.333157080530987,17.281865837859268,0.18556389789472041,0.5384395134066894,-2.7918082631344197,0.5170128415546039,-3.625533504820331,-3.7399427821569926,-1.057749166461159,0.7948567824121866,0.16514073943989593,0.12487226306947959,5.456414633836845,11.767360079034097,0.15737631387748763,0.18238269631910348,0.6129669680044856
10,0.04703338927426382,-2.189718776462392,1.592615667173213,0.5699939312351178,12.399070914152787,0.5979505732833352,0.6963022666733202,-1.9257279937297962,1.367512669981486,-1.2356238625807898,-2.2031915364916146,-0.9595695910144793,0.5789335950730633,0.20182989622818148,0.08273716072532017,2.085220319921689,14.257654164099183,0.510628738589049,0.5056269216927439,0.805121520001933
11,0.029554857696232863,-1.8160478019442323,1.5222937741694216,0.36692553100055936,23.180903584874528,0.57512531928448,0.7084627107629206,-2.237092938141214,1.1054640995532756,-3.2088858714266495,-2.8210429132304267,-2.1594893266542847,0.716872729435833,0.20866996453897135,0.18255581398199983,7.28391278168774,6.0530801305992705,0.7876457096522435,0.9667134949943785,0.390617353490719
12,0.01012558570776759,-1.1032600530415528,0.3205763293375831,1.1510705107215056,23.759598945286665,0.4668871017437066,0.8605953392639919,-0.25314142191172984,0.7185032638263712,-2.3542250896913703,-1.4806626975859127,-3.6837742115962366,0.6964704536375776,0.26146013369754056,0.170636114697502,2.545079714395131,8.16128202025163,0.8916841657604376,0.08032115990842584,0.23947431253748078
13,0.0448780740133711,-1.7422854530352896,1.3331174472898242,0.7566607470576684,16.405268635167502,0.26639078046210785,0.5715729198764931,-3.5228238353384422,1.2475380397453386,-2.2241959463740777,-1.8092707277351878,-1.9072965172930632,0.6374377210786016,0.1203407134865742,0.14193273789433375,5.81212739086336,7.619553719132078,0.9144864212889333,0.8170928715982412,0.38529679642251846
14,0.04039347874069808,-1.1925598425494306,0.17471443975938425,1.7652119058076454,12.295251156550481,0.41430622929049465,0.6544261188201086,-1.7522422327739284,1.1419049882051295,-3.2359282305429433,-3.1161582711151485,-3.6065043496257765,0.8604210178194789,0.08658407238201676,0.1059636875403352,5.061946937121448,2.6508852705079144,0.6495939223591792,1.0591374003623988,0.0835581300709916
15,0.006683150546813281,-1.8187452852559343,1.7919018983073436,1.1920003665905559,23.94282852372516,0.5092286677240108,0.6224223657558494,-0.4908227914378265,0.5269341467299966,-3.7778821616176743,-2.5352311216927594,-1.6266098452053206,0.8530620017360497,0.23386040682490405,0.2563613396251448,4.993450088711749,9.350223223211835,0.18494276996363218,1.0206222546507406,0.427758544900471
16,0.019562547797069275,-1.7951363750583877,1.3022779539774214,1.4893766303926583,19.47676263408176,0.3605790210990665,0.5887934122580794,-1.767357091774243,1.1974683294829296,-3.869489968306228,-3.5214760678530985,-3.59687264304693,0.7603560688497117,0.1317827341097284,0.14155658096891538,2.8077124051891618,4.72587918424337,0.10982285311518572,0.13518609797403808,0.17734520065147544
17,0.025379388810494334,-1.4505345633998663,1.6210131191655646,0.8707035216406128,21.214491726358027,0.5286748086016949,0.8840809594057739,-3.7197259935214433,0.46963969641856673,-2.757446246286466,-2.689935606421353,-0.8302126978377316,0.7838408909532821,0.2853563079049718,0.18544501237251565,6.389547364489737,3.6568966530997145,0.38260226585046386,0.9430042830194454,0.15699238714698788
18,0.023610314564646486,-1.1087843890476592,2.0100255114642067,1.5503216974305205,24.889475780997298,0.572635652832016,0.7568385178757873,-3.5556537673576165,1.134665448966687,-3.1528515208133396,-2.9620618521527704,-0.5252300908137713,0.8645751093125993,0.17057130001649645,0.18070199029281253,2.637044332549156,12.272767809920383,0.39868628788840377,0.3464901585189236,0.5841973875593189
19,0.008817051040212066,-1.8012132340637104,1.6134958134460897,0.9122036775426068,26.64157603510128,0.4366889474251261,0.9219233596459946,-0.5079265653294835,1.1515260856911318,-3.7662444537022766,-2.5727754990795795,-3.754682726594316,0.5913136990000359,0.1394282530290788,0.13165641442842618,3.890913640763165,4.130899354514826,0.3211139229239678,0.6135436597954447,0.5056632438530013
20,0.011254710891283628,-1.9765261446083207,1.7055915991281414,0.8210215676025227,13.93353102281083,0.5418679999594871,0.8730741373432039,-1.3931613241606042,1.2595743218725144,-3.0364120256223672,-2.0133700562645385,-1.9353618777941275,0.6128944858185186,0.23425247216758616,0.1499758337473296,3.615183438839177,14.300469052076112,0.9436696961779234,0.02124641377442201,0.2232370159702571
21,0.008951559644100878,-1.597012965090149,1.1205497364066952,0.523865328817416,14.826271654823485,0.32866419698190097,0.7306421707690589,-3.7926985950289716,1.4797710722393869,-1.2653639760977469,-3.730834546688524,-3.251874497252566,0.6763521924186916,0.26513501648445387,0.1549665405837108,2.7559643577856185,3.7712533072300882,0.23048640702942105,0.9970082732374744,0.4745469338607064
